Model,threshold,resolution,energy,energy_diff
LM,40,0.1,-196.05314440204899,0.08010104231001947
LM,40,0.1,-196.02961760095098,0.09884563949302105
LM,40,0.2,-196.029161954865,0.09128601525299018
LM,45,1.0,-196.02953514772398,0.09452852754301944
LM,40,0.1,-196.037110023825,0.07822461849400497
LM,40,0.1,-196.04042048485002,0.07288284441497694
LM,40,0.1,-124.68530325254301,0.010245209663992227
LM,40,0.2,-124.663497683435,0.019292022536006925
LM,50,3.0,-189.47378414829296,0.07565869380104573
LM,45,3.0,-189.464070992367,0.09296338014300431
LM,50,3.0,-189.47084779331695,0.07458662811706063
LM,70,3.0,-189.480299448174,0.06436439850199349
LM,70,3.0,-189.476699483415,0.07003453516600189
LM,70,3.0,-189.47826292318,0.07053573566898308
LM,50,2.4,-129.13212954371198,0.10387793197000406
LM,50,2.5,-129.13448672748999,0.09060112829700984
LM,40,2.2,-129.13235330249998,0.10105639274902956
LM,85,2.4,-129.13488437466202,0.10304925580598479
LM,50,2.3,-129.128574739047,0.09790408315001287
LM,60,2.4,-129.13445348214302,0.09468639107598165
LM,40,3.0,-81.43419106258,0.37582048408999924
LM,50,3.0,-81.440425795739,0.3579394560249938
LM,40,2.9,-81.43672707609099,0.36576653389001024
LM,45,3.0,-81.44426319716202,0.35765795812598355
LM,50,3.0,-81.43860546191401,0.35733537731898934
LM,40,2.9,-81.440656444797,0.35727491310299797
LM,40,0.1,-113.70417092095201,0.1436789391819957
LM,40,0.1,-113.703185658574,0.09024631787100645
LM,40,0.1,-113.714008813092,0.09162652616301159
LM,40,0.1,-113.702578222235,0.11490388504400073
LM,40,0.1,-113.708824721936,0.10478796922200218
LM,40,0.1,-113.70618126259501,0.08563181712199253
LM,40,0.2,-152.579905556471,0.09372873693399697
LM,40,0.2,-152.59021950869902,0.07901312404896998
LM,40,0.2,-152.539159225576,0.1295469193800045
LM,40,0.2,-152.578623739462,0.08842220708700665
LM,40,0.2,-152.577173201937,0.08614890552499332
LM,40,0.2,-152.57604067176302,0.08954414179498826
LM,50,0.3,-197.34139874746,0.36438425554499076
LM,45,0.3,-197.34415131454904,0.3587760040629746
LM,45,0.3,-197.33494636091697,0.3573929662220223
LM,40,0.3,-197.340429626703,0.356879029357998
LM,55,0.3,-197.39566151490604,0.2937267093379603
LM,55,0.3,-197.339976762698,0.35354065619299035
LM,40,0.1,-133.340129409284,0.045504497126984234
LM,40,0.1,-133.344460288533,0.04132450143899291
LM,85,3.0,-133.30661060192003,0.10590498645996149
LM,40,0.1,-133.34757286886,0.03587363323200066
LM,45,3.0,-133.302774361556,0.0779811057360007
LM,40,0.1,-133.337338473008,0.02473774097001069
LM,40,3.0,-128.83394430285898,0.22656307916503238
LM,45,2.6,-128.839636570152,0.22060207563299628
LM,75,2.8,-128.83964420048702,0.21100912974299035
LM,80,2.9,-128.832217009535,0.21825335882601848
LM,65,2.8,-128.844402296796,0.2043316777349844
LM,70,2.6,-128.83981441863202,0.2101335533999702
LM,85,3.0,-145.30796475359097,0.012092196126957333
LM,50,2.5,-145.27769469615103,0.012190508402966316
LM,40,2.7,-125.85319509235002,0.20255335187798096
LM,50,2.7,-125.85410206077701,0.20278958066198527
LM,65,2.7,-125.854963816315,0.19387670823299175
LM,60,2.7,-125.85550984507401,0.19442709126198565
LM,50,2.7,-125.854229386334,0.19501415880100126
LM,40,2.7,-125.85468715988,0.19645922495000434
LM,50,3.0,-87.491290674601,0.19407476009499192
LM,70,3.0,-87.489916566937,0.19395439620100774
LM,40,3.0,-87.487669937593,0.19614677927199864
LM,40,3.0,-87.48631546089202,0.19120698934098357
LM,70,3.0,-87.483733254332,0.1986678295520079
LM,70,3.0,-87.482017732164,0.19680306665399883
LM,40,0.1,-107.517334259111,0.2265235049050034
LM,50,1.2,-107.51689123185102,0.2204109368429812
LM,45,1.2,-107.51533579851402,0.22342713415397952
LM,50,1.2,-107.51698993233099,0.22421210030901761
LM,45,1.2,-107.51514753507101,0.22123796235399595
LM,75,1.2,-107.518737130161,0.21021085840500575
LM,70,1.4,-144.52593332477602,0.052314325225978564
LM,40,1.4,-144.529074342188,0.046263707054976067
LM,60,1.4,-144.518452416461,0.04554382448600336
LM,70,1.4,-144.520703398541,0.04540022739200822
LM,40,1.4,-144.523575003459,0.05163033628500102
LM,40,1.4,-144.516922095928,0.04178032620200156
LM,50,1.2,-157.34003685858997,0.03841849658203955
LM,60,1.2,-157.347777472459,0.032213481895013274
LM,80,1.2,-157.343973916764,0.02104856361299312
LM,50,1.2,-157.344692591859,0.03782074320199058
LM,50,1.2,-157.349451831756,0.027664202974989394
LM,50,1.2,-157.338726889303,0.03945298001801234
LM,65,2.2,-227.31690467419705,0.06543850922795968
LM,45,2.2,-227.320164840542,0.06195378846899757
LM,40,2.2,-227.31685759407702,0.04835767051699236
LM,40,2.2,-227.32134655801002,0.061303729387987005
LM,75,2.2,-227.323041404033,0.04602417501200762
LM,50,2.2,-227.313925993235,0.05695263856100041
LM,40,0.1,-176.884208606245,0.13682121198698383
LM,40,0.1,-176.87962033495302,0.13203826529999674
LM,40,0.1,-176.87822947693002,0.13079066614497492
LM,40,0.1,-176.825929591376,0.18608656631099052
LM,40,0.1,-176.87956691735099,0.133926682026015
LM,40,0.1,-176.860455803614,0.14997691121700996
LM,60,2.9,-96.97031422862,0.014149672670001223
LM,40,1.1,-96.93037714195601,0.020368475494990435
LM,45,1.0,-96.92777194081401,0.01426335987999039
LM,50,2.8,-96.96564440719101,0.013354889587006369
LM,40,1.0,-96.91955272409699,0.019303333893006425
LM,45,2.8,-96.96900222332302,0.01902689801201518
LM,40,0.2,-134.441294455233,0.04554321174600773
LM,40,0.2,-134.454476420427,0.029736327537989382
LM,40,0.2,-134.451289402033,0.02593627896499129
LM,40,0.2,-134.45516096726902,0.019141760412964004
LM,40,0.2,-134.449261157887,0.028315299986985565
LM,40,0.2,-134.454559174144,0.018082687044994827
